,DISTRICT_CODE,EXPENSE
0,10,13309
1,110,18081
2,120,13083
3,125,13083
4,570,22829
5,590,17135
6,1300,17560
7,1310,14641
8,1410,17690
9,1540,13813
10,1690,15951
11,1790,17242
12,1940,12835
13,1960,11767
14,2680,15412
15,2910,18274
16,3020,27850
17,3480,14506
18,3720,14110
19,4180,19472
20,4240,16224
21,4800,16218
22,5350,18624
23,5760,18721
24,40,15487
25,80,30213
26,285,30213
27,290,25681
28,300,15849
29,440,15390
30,740,16202
31,745,21604
32,890,13524
33,930,15425
34,990,13984
35,1070,25307
36,1130,14913
37,1230,16914
38,1270,12109
39,1345,11236
40,1360,15546
41,1370,18158
42,1380,19791
43,1450,16097
44,1470,10581
45,1550,14984
46,1580,23165
47,1700,17388
48,1760,16433
49,1860,15808
50,2050,18191
51,2080,14377
52,2090,19406
53,2180,16992
54,2200,15075
55,2620,15627
56,2710,14241
57,2740,12635
58,2860,14694
59,2900,17872
60,3060,13142
61,3170,19878
62,3330,14625
63,3350,17669
64,3550,16056
65,3600,12454
66,3700,17530
67,3710,20842
68,3730,15700
69,3740,13852
70,3760,17839
71,3850,16152
72,3870,13663
73,3910,13880
74,3930,18146
75,3940,20249
76,3960,19742
77,4300,18084
78,4310,17716
79,4370,20948
80,4380,14288
81,4390,15124
82,4405,17000
83,4410,13830
84,4430,16162
85,4470,16165
86,4600,14302
87,4610,15973
88,4620,29335
89,4845,29335
90,4870,17395
91,5150,20778
92,5160,16407
93,5330,17184
94,5410,16129
95,5430,12206
96,5755,16662
97,5830,13072
98,5880,17475
99,5920,16786
100,200,21390
101,380,16788
102,475,13652
103,600,18599
104,605,18599
105,610,16840
106,620,14074
107,830,11598
108,840,15305
109,1030,15057
110,1060,12975
111,1250,14149
112,1280,14200
113,1420,15336
114,1520,13635
115,1910,13325
116,2610,17859
117,2850,15056
118,2960,16562
119,3010,14721
120,3070,12451
121,3080,15181
122,3360,16200
123,3430,16666
124,3440,14275
125,3540,22810
126,3650,16018
127,3690,13689
128,3920,15488
129,4050,20013
130,4320,13571
131,4450,13860
132,4460,14314
133,4740,15571
134,4930,16759
135,5010,19098
136,5130,17974
137,5720,11753
138,5805,15360
139,5890,17373
140,150,14029
141,190,14696
142,260,11801
143,330,12458
144,340,16832
145,390,15172
146,580,14166
147,680,24735
148,700,20836
149,800,14242
150,880,15940
151,940,15460
152,1255,14850
153,1720,16168
154,1770,16725
155,1780,13721
156,1799,17881
157,1801,20018
158,1802,18766
159,1880,13990
160,1890,14467
161,1900,12369
162,2540,12962
163,2560,16260
164,2670,13611
165,2890,15325
166,3110,14646
167,3420,14054
168,3770,15671
169,4060,15047
170,4110,15847
171,4590,13379
172,4790,14260
173,5035,14313
174,5080,14253
175,5400,14454
176,5560,17784
177,5820,15801
178,5900,12912
179,170,57574
180,710,17480
181,715,17480
182,720,21186
183,1080,19750
184,2820,18337
185,2840,15237
186,3130,13736
187,3680,28377
188,3780,16537
189,5060,25502
190,5340,15943
191,5610,14987
192,5790,20951
193,5800,23827
194,5840,15716
195,540,14874
196,950,14551
197,995,26486
198,997,14487
199,1020,14390
200,1120,15561
201,1460,13411
202,1820,19701
203,2270,13247
204,2570,12646
205,3050,12122
206,3230,16195
207,5070,15138
208,5300,15169
209,5390,15854
210,250,13173
211,410,13296
212,660,14982
213,760,15540
214,1210,21681
215,1387,21681
216,1390,18988
217,1400,18667
218,1465,15824
219,1750,14243
220,2330,17467
221,2730,16117
222,3190,15765
223,3310,16470
224,3570,17357
225,3630,16021
226,3750,13986
227,3880,15615
228,4530,15341
229,4900,14259
230,5370,13889
231,5630,17552
232,5680,19276
233,860,12249
234,870,12688
235,1100,13857
236,1180,11621
237,1330,14292
238,1590,12875
239,1715,17346
240,1730,15629
241,1774,15629
242,1775,14111
243,1830,18657
244,2070,11793
245,2440,10337
246,2750,15679
247,2990,14757
248,3280,11835
249,3490,15925
250,4020,16957
251,4140,16907
252,4880,11879
253,4940,15894
254,5120,12697
255,5500,16837
256,5590,17388
257,5620,14069
258,5740,12524
259,5860,15228
260,5870,14966
261,220,13175
262,1200,10880
263,1850,11773
264,2060,16561
265,2210,25181
266,2295,18993
267,2390,18566
268,2410,13201
269,3610,14233
270,4730,15324
271,5240,15996
272,5580,14795
273,5670,13784
274,20,18129
275,370,21170
276,430,20237
277,670,26252
278,910,17088
279,920,19228
280,1040,19274
281,1050,17974
282,1160,19481
283,1376,16960
284,1510,16730
285,1600,18968
286,1680,21719
287,1970,21471
288,2140,19093
289,2220,18064
290,2300,16118
291,2305,16118
292,2308,14695
293,2450,17690
294,2590,19336
295,2600,18202
296,3180,25735
297,3660,16266
298,4350,16592
299,5180,20294
300,5270,16480
301,1245,14115
302,1430,16414
303,1950,14644
304,2280,18317
305,2580,15859
306,3103,15859
307,3105,22477
308,4255,19018
309,5210,16374
310,5510,11348
311,5715,13547
312,750,13087
313,970,21726
314,1140,12243
315,1170,15515
316,1290,12601
317,2150,16199
318,2370,11525
319,3120,14037
320,3140,15327
321,3145,15327
322,3150,18844
323,3220,13459
324,3290,13569
325,3530,16409
326,3620,13727
327,3845,14909
328,4090,17734
329,4130,12868
330,4660,12134
331,4830,13296
332,4860,12790
333,4910,15271
334,4920,12245
335,4970,13208
336,5850,12948
337,100,31915
338,130,14925
339,180,18518
340,225,18518
341,270,15623
342,500,18901
343,560,15239
344,945,21330
345,1000,19927
346,1260,17396
347,1440,14000
348,1490,16395
349,1640,12996
350,1650,14311
351,1660,16510
352,2105,15785
353,2120,21766
354,2160,20388
355,2230,16917
356,2290,15813
357,2400,22277
358,2430,15817
359,2720,14461
360,2770,16063
361,2920,14053
362,2930,14671
363,3030,15153
364,3040,15766
365,3160,14384
366,3200,18420
367,3250,17506
368,3255,17506
369,3260,17366
370,3270,20616
371,3500,14585
372,3510,16667
373,3810,18040
374,3830,16105
375,4360,16267
376,4365,19388
377,4520,20826
378,4570,14394
379,4580,16099
380,4690,22469
381,4760,20047
382,4770,16318
383,4980,24920
384,4990,16574
385,5185,15062
386,5230,15686
387,5310,14538
388,5420,17189
389,5640,17740
390,450,17374
391,460,17196
392,630,16390
393,785,13558
394,820,16700
395,1090,16275
396,1110,11048
397,1190,17824
398,1530,17047
399,1990,17302
400,2000,16464
401,2010,20967
402,2380,16297
403,2460,16386
404,2650,14444
405,2870,15420
406,3090,17048
407,3100,19927
408,3240,14844
409,3340,17530
410,3364,17530
411,3365,16417
412,3370,18595
413,3380,17680
414,3385,16213
415,3410,18142
416,3450,15342
417,3460,19982
418,3520,14708
419,3950,16967
420,4000,17076
421,4080,15038
422,4330,15928
423,4440,14820
424,4480,13784
425,4490,17737
426,4560,17006
427,5520,18043
428,5660,15325
429,5770,15710
430,185,14484
431,210,19477
432,230,28149
433,320,13880
434,530,14452
435,770,15018
436,1150,17168
437,2350,17516
438,2360,14058
439,2480,15189
440,2500,17500
441,2520,18365
442,2550,20989
443,2690,15706
444,2760,26429
445,2940,15841
446,3790,14866
447,3800,17949
448,3820,18962
449,4105,19079
450,4190,16777
451,4210,13415
452,4220,17821
453,4710,19894
454,4950,16516
455,5020,15595
456,5190,13148
457,5220,15977
458,420,18371
459,900,12911
460,1920,13568
461,2100,14486
462,2510,19484
463,2700,15283
464,3640,13424
465,3970,16866
466,3975,16866
467,3980,14655
468,3990,16740
469,3995,19976
470,4010,15764
471,4230,17109
472,4270,11345
473,4400,17302
474,5200,13530
475,5440,16117
476,5570,17451
477,5650,17917
478,5690,14476
479,60,12419
480,1350,12670
481,2800,18901
482,2950,15614
483,3860,13520
484,4070,15226
485,4075,15824
486,4150,14884
487,4280,12908
488,4630,17681
489,4635,17681
490,4640,9904
491,5320,13724
492,5910,13668
493,240,18397
494,350,14581
495,490,12439
496,510,17147
497,555,14884
498,1610,15605
499,1810,16301
500,2170,14673
501,3000,12950
502,3320,14750
503,3670,15896
504,4805,15896
505,4810,30098
506,4815,16345
507,4820,15116
508,4850,14027
509,5470,20527
510,5540,15576
511,5550,16241
512,90,18121
513,640,15398
514,1560,16847
515,1570,16831
516,1630,16504
517,1800,16668
518,1930,20801
519,1980,19594
520,2030,13937
521,2165,22803
522,2240,20670
523,2465,18669
524,2490,17157
525,2615,16010
526,3300,19444
527,3590,16753
528,3840,17344
529,4650,19346
530,4960,15870
531,5030,17062
532,5040,18370
533,5100,18952
534,5105,18952
535,5110,16322
536,5360,18381
537,5435,18577
538,310,16140
539,850,13267
540,980,14832
541,1320,16477
542,1710,13673
543,2190,15302
544,2420,14790
545,2660,16152
546,3395,16152
547,3470,12965
548,3560,13637
549,4160,15640
550,4290,14790
551,4540,16974
552,4550,14752
553,4670,13765
554,5000,14234
555,5090,15511
556,5245,15511
557,5260,11781
558,5290,14955
559,5730,13634
560,5810,16789
561,30,14332
562,70,17135
563,280,15582
564,400,16020
565,1620,20989
566,1670,15919
567,1785,17067
568,1840,12302
569,1870,14125
570,2040,18148
571,2250,19208
572,2470,18997
573,2790,11190
574,2970,13807
575,3675,15842
576,3890,16109
577,4100,16064
578,4200,15834
579,5450,15834
580,5460,19392
581,5465,16383
582,5480,14676
583,5530,16453
584,5780,20046
585,6010,20460
586,6013,12226
587,6017,12473
588,6018,13205
589,6020,15005
590,6021,14946
591,6022,14103
592,6025,15251
593,6026,10167
594,6028,10295
595,6029,19102
596,6030,10648
597,6032,14030
598,6033,14359
599,6036,12337
600,6041,13043
601,6053,14500
602,6057,19392
603,6058,13691
604,6060,16210
605,6064,13132
606,6067,12879
607,6068,14019
608,6069,10709
609,6076,13312
610,6079,16555
611,6080,12754
612,6081,11502
613,6082,10980
614,6086,15129
615,6089,8863
616,6093,10107
617,6094,14211
618,6096,11116
619,6099,15762
620,6100,13182
621,6101,11881
622,6102,20784
623,6103,12066
624,6104,12597
625,6105,9869
626,6106,24436
627,6107,15182
628,6109,15182
629,6110,15182
630,6182,14276
631,6183,16631
632,6184,14684
633,6230,11006
634,6232,20484
635,6240,15018
636,6320,15420
637,6410,12975
638,6420,15241
639,6430,15894
640,6635,14495
641,6665,14189
642,6720,16274
643,6740,12540
644,6810,14735
645,6910,12050
646,6915,12563
647,7100,18631
648,7109,12945
649,7115,10625
650,7210,19243
651,7290,13049
652,7320,15966
653,7325,18025
654,7410,19048
655,7500,14101
656,7503,13367
657,7540,15101
658,7600,12239
659,7720,16480
660,7727,13447
661,7730,15143
662,7735,16830
663,7830,11940
664,7850,16063
665,7890,15269
666,7891,15269
667,7892,15269
668,7893,15269
669,8010,12673
670,8050,15354
671,8060,15545
672,8065,18523
673,8140,14395
