Number,FIPS,State,County,Poverty Rate 1960,Poverty Rate 1970,Poverty Rate 1980,Poverty Rate 1990,Poverty Rate 2000,Poverty Rate 2010,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Persons in Poverty 1960,Persons in Poverty 1970,Persons in Poverty 1980,Persons in Poverty 1990,Persons in Poverty 2000,Persons in Poverty 2010
,34,New Jersey,State Total,11.3,8.1,9.5,7.6,8.5,9.9,"5,932,901","7,043,512","7,231,599","7,563,170","8,232,588","8,619,763","672,706","573,674","689,491","573,152","699,668","850,559"
1775,34001,New Jersey,Atlantic ,22.8,13.0,12.6,9.4,10.5,12.8,"156,947","172,883","190,979","218,545","246,787","266,648","35,742","22,433","24,155","20,469","25,906","34,002"
1776,34003,New Jersey,Bergen ,5.4,4.1,4.1,3.9,5.0,6.6,"778,362","893,931","838,534","816,327","874,201","896,852","41,841","36,494","34,703","31,931","43,417","59,409"
1777,34005,New Jersey,Burlington ,12.3,6.3,6.3,4.2,4.7,5.7,"195,944","295,116","345,559","380,149","409,125","436,462","24,029","18,658","21,745","16,084","19,280","24,795"
1778,34007,New Jersey,Camden ,12.1,8.9,11.8,10.3,10.4,12.1,"386,576","451,564","466,960","493,451","499,327","506,571","46,703","40,226","55,083","50,632","52,121","61,493"
1779,34009,New Jersey,Cape May ,22.0,12.4,9.1,8.3,8.6,9.7,"45,692","57,306","79,664","92,271","99,640","94,742","10,069","7,125","7,224","7,665","8,549","9,186"
1780,34011,New Jersey,Cumberland ,20.9,11.8,14.5,13.0,15.0,16.1,"102,695","117,844","128,104","131,390","135,350","145,554","21,462","13,950","18,599","17,086","20,367","23,460"
1781,34013,New Jersey,Essex ,13.8,13.1,17.9,14.3,15.6,16.1,"908,359","917,979","839,358","761,781","771,556","763,865","125,372","120,403","150,323","108,940","120,006","122,618"
1782,34015,New Jersey,Gloucester ,13.6,7.8,8.6,6.2,6.2,7.7,"133,978","170,635","197,487","225,814","249,843","283,211","18,240","13,370","17,038","13,936","15,395","21,691"
1783,34017,New Jersey,Hudson ,12.9,11.9,16.9,14.8,15.5,15.7,"603,811","603,041","551,462","546,990","600,001","629,507","77,986","71,908","93,378","81,171","93,149","99,109"
1784,34019,New Jersey,Hunterdon ,13.7,6.3,4.4,2.6,2.6,3.8,"52,353","68,040","84,971","104,467","117,914","123,931","7,190","4,288","3,708","2,766","3,027","4,739"
1785,34021,New Jersey,Mercer ,12.0,9.3,9.4,7.4,8.6,10.8,"253,798","292,218","293,388","309,870","330,373","347,076","30,374","27,245","27,552","23,084","28,570","37,378"
1786,34023,New Jersey,Middlesex ,7.7,5.3,6.3,5.1,6.6,8.0,"425,683","572,662","576,845","648,205","731,461","787,665","32,672","30,338","36,119","33,169","48,205","63,123"
1787,34025,New Jersey,Monmouth ,13.8,7.7,7.5,5.0,6.3,6.6,"323,140","447,674","494,177","543,183","605,698","622,672","44,597","34,436","37,281","27,230","38,242","41,398"
1788,34027,New Jersey,Morris ,6.6,3.8,3.5,2.8,3.9,4.2,"250,614","375,587","399,745","413,861","462,131","485,889","16,478","14,160","14,131","11,459","17,872","20,447"
1789,34029,New Jersey,Ocean ,17.4,8.5,8.1,6.0,7.0,10.2,"104,685","206,113","342,775","426,849","502,712","568,350","18,180","17,595","27,613","25,600","34,945","57,964"
1790,34031,New Jersey,Passaic ,11.6,9.3,12.8,10.0,12.3,15.8,"401,907","456,904","441,127","443,430","481,200","491,715","46,747","42,500","56,520","44,556","59,072","77,616"
1791,34033,New Jersey,Salem ,17.4,11.9,11.7,10.6,9.5,11.2,"57,564","59,729","63,715","63,704","63,178","64,994","10,025","7,119","7,424","6,736","5,980","7,296"
1792,34035,New Jersey,Somerset ,7.4,4.3,3.8,2.6,3.8,4.5,"139,349","194,664","199,044","235,937","293,732","320,287","10,251","8,403","7,592","6,061","11,061","14,465"
1793,34037,New Jersey,Sussex ,15.1,6.8,5.5,3.4,4.0,5.2,"48,466","76,578","114,613","129,032","142,641","147,311","7,320","5,239","6,262","4,444","5,693","7,722"
1794,34039,New Jersey,Union ,7.5,6.1,7.5,7.2,8.4,10.4,"500,859","540,396","499,912","487,566","514,780","529,632","37,690","32,702","37,628","35,220","43,319","54,978"
1795,34041,New Jersey,Warren ,15.7,7.0,6.5,5.4,5.4,7.2,"62,119","72,648","83,180","90,348","100,938","106,829","9,738","5,082","5,413","4,913","5,492","7,670"